"日付け","終値","始値","高値","安値","前日比%"
"2017年08月20日","456,978","447,091","458,697","431,401","2.21"
"2017年08月19日","447,091","444,090","478,081","430,219","-5.40"
"2017年08月18日","472,613","470,166","528,676","442,379","0.52"
"2017年08月17日","470,166","474,494","531,332","436,766","-0.91"
"2017年08月16日","474,494","457,008","492,745","424,394","3.83"
"2017年08月15日","457,008","464,508","492,632","424,136","-1.61"
"2017年08月14日","464,508","424,424","493,492","418,000","9.44"
"2017年08月13日","424,424","409,442","460,769","404,136","3.66"
"2017年08月12日","409,442","407,736","430,205","372,097","0.42"
"2017年08月11日","407,736","373,256","407,736","366,727","9.24"
"2017年08月10日","373,256","378,630","403,650","360,402","-1.42"
"2017年08月09日","378,630","379,813","410,703","359,964","-0.31"
"2017年08月08日","379,813","406,790","410,703","326,756","-6.63"
"2017年08月07日","406,790","330,195","406,790","323,171","23.20"
"2017年08月06日","330,195","329,884","332,266","316,046","0.09"
"2017年08月05日","329,884","310,886","331,889","292,055","6.11"
"2017年08月04日","310,886","304,985","333,657","290,740","1.93"
"2017年08月03日","304,985","306,007","330,636","296,203","-0.33"
"2017年08月02日","306,007","314,656","332,053","295,993","-2.75"
"2017年08月01日","314,656","315,083","315,175","314,141","-0.14"
"2017年07月31日","315,083","298,744","316,191","278,208","5.47"
"2017年07月30日","298,744","294,359","306,885","270,677","1.49"
"2017年07月29日","294,359","306,935","310,884","270,677","-4.10"
"2017年07月28日","306,935","293,883","308,900","277,260","4.44"
"2017年07月27日","293,883","274,417","294,013","272,827","7.09"
"2017年07月26日","274,417","284,481","309,739","269,445","-3.54"
"2017年07月25日","284,481","303,279","309,434","271,189","-6.20"
"2017年07月24日","303,279","296,284","304,382","280,943","2.36"
"2017年07月23日","296,284","293,762","303,974","281,019","0.86"
"2017年07月22日","293,762","289,944","304,004","276,631","1.32"
"2017年07月21日","289,944","301,981","314,438","238,751","-3.99"
"2017年07月20日","301,981","256,132","314,501","233,806","17.90"
"2017年07月19日","256,132","242,358","266,082","234,103","-2.66"
"2017年07月18日","263,120","245,463","264,321","219,353","7.19"
"2017年07月17日","245,463","209,170","246,641","209,120","17.35"
"2017年07月16日","209,170","230,953","259,469","207,666","-9.43"
"2017年07月15日","230,953","255,488","281,375","230,953","-9.60"
"2017年07月14日","255,488","281,324","284,524","253,852","-9.18"
"2017年07月13日","281,324","281,462","284,458","263,499","-0.05"
